Yokohama, Japan, pop=3757630
Suihua, China, pop=3756167
Binzhou, China, pop=3748474
Zaozhuang, China, pop=3729140
Detroit, United States, pop=3716929
Xiamen, China, pop=3707090
Mashhad, Iran, pop=3700000
Montréal, Canada, pop=3675219
Fuzhou, China, pop=3671192
Wuhu, China, pop=3644420
Medan, Indonesia, pop=3632000
Yulinshi, China, pop=3624750
Fuzhou, China, pop=3614866
Wenzhou, China, pop=3604446
Changzhou, China, pop=3601079
Puyang, China, pop=3598740
Nanchang, China, pop=3576547
Baicheng, China, pop=3571505
Seattle, United States, pop=3555253
Ibadan, Nigeria, pop=3552000
Jiaozuo, China, pop=3521078
Nādampālaiyam, India, pop=3458045
Deyang, China, pop=3456161
Busan, Korea, South, pop=3453198
Hechi, China, pop=3417945
Tangshan, China, pop=3399231
Lucknow, India, pop=3382000
San Francisco, United States, pop=3364862
Boankra, Ghana, pop=3348000
Dubai, United Arab Emirates, pop=3331420
Anshan, China, pop=3325372
Guozhen, China, pop=3321853
Baojishi, China, pop=3321853
Qinzhou, China, pop=3302238
Guiyang, China, pop=3299724
Wuxi, China, pop=3245179
Kannankulam, India, pop=3243170
Caracas, Venezuela, pop=3242000
Kotla Qasim Khan, Pakistan, pop=3219375
Casablanca, Morocco, pop=3215935
Hanzhong, China, pop=3211462
Shiyan, China, pop=3209004
Guang’an, China, pop=3205476
Faisalabad, Pakistan, pop=3203846
Changzhi, China, pop=3180884
Tongren, China, pop=3168800
Bengbu, China, pop=3164467
Leshan, China, pop=3160168
Santa Cruz de la Sierra, Bolivia, pop=3151676
Neijiang, China, pop=3140678
Zhenjiang, China, pop=3113384
Qinhuangdao, China, pop=3107400
Bursa, Turkey, pop=3101833
Tashkent, Uzbekistan, pop=3095498
Guayaquil, Ecuador, pop=3094420
Jaipur, India, pop=3073350
Lanzhou, China, pop=3067141
Ouagadougou, Burkina Faso, pop=3063271
Athens, Greece, pop=3059764
San Diego, United States, pop=3057778
Guatemala City, Guatemala, pop=3014000
Kuwait City, Kuwait, pop=2989000
Qincheng, China, pop=2984659
İzmir, Turkey, pop=2965900
Quezon City, Philippines, pop=2960048
Kyiv, Ukraine, pop=2952301
Kottārasshēri, India, pop=2952254
Meishan, China, pop=2950545
Incheon, Korea, South, pop=2936117
Ningde, China, pop=2910000
Zhongshan, China, pop=2909633
Minneapolis, United States, pop=2906807
Tampa, United States, pop=2906035
Putian, China, pop=2900000
Mbuji-Mayi, Congo (Kinshasa), pop=2892000
Tongliao, China, pop=2873168
Chaoyang, China, pop=2872857
Hohhot, China, pop=2866615
Pyongyang, Korea, North, pop=2863000
Shaoguan, China, pop=2855131
Taichung, Taiwan, pop=2850285
Cali, Colombia, pop=2838333
Heyuan, China, pop=2837686
Wuzhou, China, pop=2820977
Pretoria, South Africa, pop=2818100
Suining, China, pop=2814196
Omdurman, Sudan, pop=2805396
Weihai, China, pop=2804771
Rizhao, China, pop=2801013
Malang, Indonesia, pop=2795209
Stuttgart, Germany, pop=2787724
Daqing, China, pop=2781562
Rome, Italy, pop=2748109
Kaohsiung, Taiwan, pop=2737660
Brooklyn, United States, pop=2736074
Xiangtan, China, pop=2726181
Bazhou, China, pop=2712894
Handan, China, pop=2708015
Brisbane, Australia, pop=2706966
Jinzhou, China, pop=2703853
Denver, United States, pop=2691349
Xinzhou, China, pop=2689668
Nanping, China, pop=2680645
Gāzipura, Bangladesh, pop=2674697
Shanwei, China, pop=2672819
Maracaibo, Venezuela, pop=2658355
Chaozhou, China, pop=2656600
Baotou, China, pop=2650364
Longyan, China, pop=2640000
Weifang, China, pop=2636154
Huai’an, China, pop=2632788
Zibo, China, pop=2631647
Attadappa, India, pop=2615266
Munich, Germany, pop=2606021
Gulou, China, pop=2606000
Birmingham, United Kingdom, pop=2590363
Valencia, Venezuela, pop=2585202
Damascus, Syria, pop=2584771
Chattogram, Bangladesh, pop=2581643
Brazzaville, Congo (Brazzaville), pop=2557100
Yangjiang, China, pop=2555600
Sanaa, Yemen, pop=2545000
Barmhān Kalān, India, pop=2537000
Medellín, Colombia, pop=2529403
Dingxi, China, pop=2524097
